,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
0,0.0,0.0,0.363,0.7020000000000001,0.067,0.385,0.8029999999999999,0.01
1,0.001,0.0,0.152,0.654,0.19699999999999998,0.976,0.619,0.005
2,0.0,0.0,0.16399999999999998,0.925,0.132,0.865,0.39899999999999997,0.002
3,0.001,0.0,0.405,0.774,0.125,0.912,0.667,0.005
4,0.0,0.0,0.133,0.871,0.235,0.8759999999999999,0.885,0.002
5,0.0,0.0,0.45299999999999996,0.6920000000000001,0.037000000000000005,0.726,0.718,0.002
6,0.0,0.0,0.217,0.27399999999999997,0.09300000000000001,0.971,0.516,0.001
7,0.005,0.0,0.22699999999999998,0.665,0.282,0.905,0.96,0.006999999999999999
8,0.0,0.0,0.574,0.6659999999999999,0.353,0.971,0.754,0.012
9,0.0,0.0,0.431,0.218,0.11900000000000001,0.672,0.35200000000000004,0.006
